License Number;Entity Name;Camis Trade Name;Address Bldg;Address Street Name;Address Location;Address City
579895;MAXI, SYLVIO;MARTO FAMILY LAUNDRY;1129;NOSTRAND AVENUE;;BKLYN
623444;LAU, BURD J;BURD J LAU          LAUNDROMAT;119-14;METROPOLITAN AVENUE;;QUEENS
624747;WILL-BET LAUNDROMATIC INC;;173;   7 AVENUE;;BROOKLYN
627302;ST PAUL, CHARLES;;1350;SUTTER AVENUE;;BKLYN
815626;WONDER WASH & DRY INC;;10;ELIZABETH STREET;;NEW YORK
816157;TSCHERNE, HERBERT;LAUNDER-KING;2049;PALMETTO STREET;;RIDGEWOOD
816930;GLO-BRITE LAUNDROMATS INC;;28-03;  23 AVENUE;;ASTORIA
835190;DOURMAS, CONTANTINOS;PARK VIEW LAUNDROMAT;36-18;  24 AVENUE;;L I CITY
838375;VRETTOS, NICK;44TH STREET LAUNDERCENTER;44-02;  43 AVENUE;;SUNNYSIDE
838580;HEMRAJ, RAJENDRA &  HEMRAJ, DEOWATTIE;ROCKAWAY WASH & DRY;133-01;ROCKAWAY BOULEVARD;;SO. OZONE PK
850002;WESTSIDE LAUNDROMAT CORP;;165;WEST   74 STREET;;MANHATTAN
850980;KONG, SUK KYONG;SUPER CLEAN LAUNDROMAT;181;WYCKOFF AVENUE;;BROOKLYN
853622;STEP N LAUNDRO MAT CORP;STEP N LAUNDROMAT;222;MAPLE STREET;;BROOKLYN
853865;123 JS INC.;;42-73;HUNTER STREET;;L I CITY
856223;TILDEN LAUNDROMAT INC;;1075;NEW YORK AVENUE;;BROOKLYN
881274;PARK, JONG C;NOBLE CLEANERS;284;COURT STREET;;BROOKLYN
882135;UNIVERSITY LAUNDRY CENTER INC;;2690;UNIVERSITY AVENUE;;BRONX
890040;ROE, DAVID;ECONO-WASH LAUNDRY;362;GRAHAM AVENUE;;BROOKLYN
896242;ALTAN INTERNATIONAL SERVICE CORP SERVICE CORP;;191;COURT STREET;;FISH TALES
896770;TONY & MIKE LAUNDROMAT INC;;2951;MIDDLETOWN ROAD;;BRONX
902633;SEKAR CLEANERS INC;DOUGLASTON FRENCH   CLEANERS;242-01;NORTHERN BOULEVARD;;DOUGLASTON
903550;LERNER, BELLA;B & B  LAUNDROMAT;811;AVENUE H;;BROOKLYN
904683;GRAHAM, CLINTON;C & G LAUNDROMAT;107-55;SUTPHIN BOULEVARD;;JAMAICA
905478;KAO, TAI-LIEN;LOTUS LAUNDRY;75-11 B;ROCKAWAY BOULEVARD;;WOODHAVEN
905771;PARK WEST           LAUNDROMAT CORP;;101;WEST   84 STREET;;MANHATTAN
909694;CHUNG'S SNOW WHITE LAUNDROMAT INC;;305;EAST BURNSIDE AVENUE;;BRONX
913801;BLUE HAVEN LAUNDROMAT INC;BLUE HAVEN LAUNDROMAT;2220;BATH AVENUE;;BROOKLYN
916121;CHESTER LAUNDROMAT INC;CHESTER LAUNDROMAT;865;EAST  241 STREET;;BRONX
916231;66 CARMINE DRY CLEANING & LAUNDROMAT INC;66 CARMINE DRY CLEANING & LAUNDROMAT;66;CARMINE STREET;;NEW YORK
917552;COMFORT II INC.;;93-34;CORONA AVENUE;;ELMHURST
918494;FARINHA BROS INC;FARINHA BROS;567;ALBANY AVENUE;;BROOKLYN
919734;WASH CYCLE OF SUNNYSIDE INC;WASH CYCLE;43-09;  48 AVENUE;43-09/43-11 48 AVE;WOODSIDE
922252;TEITELBAUM'S INC;;35-45;  35 STREET;;L I CITY
922424;S KOHAN FRENCH CLEANERS INC;;73-17;MAIN STREET;;FLUSHING
927563;NGAI, FAI SHOON;NEW STAR LAUNDROMAT;124;AVENUE O;;BROOKLYN
933980;ROMANO, LOUIS;FRESH SCENT LAUNDRY;68-18;FRESH MEADOW LANE;;QUEENS
937773;IPANEMA LAUNDRY INC;;25;LENOX AVENUE;;NEW YORK
952217;COLLAZO, CARLOS;BARKER LAUNDROMAT;2708;BARKER AVENUE;;BRONX
956812;YUSEF LAUNDRY INC;;925A;BURKE AVENUE;;BRONX
962852;MAYSONET, ROBERT;BUSY B'S LAUNDROMAT;218;COVERT STREET;;BROOKLYN
975294;GARCIA, MANUEL E;QUICK-WASH LAUNDROMAT;110-04;GUY R BREWER BOULEVARD;;JAMAICA
977111;RUDIK, RITA;R & B LAUNDROMAT;5022;  12 AVENUE;;BROOKLYN
978155;USA CLEAN CENTER CO INC;;75-77;  31 AVENUE;;QUEENS
984674;JOEAL DRY CLEANERS INC;;1743;FULTON STREET;;BROOKLYN
988868;GOTAY, MARINA;MARINA'S LAUNDROMAT;331;EAST  109 STREET;;NEW YORK
991118;GATES LAUNDROMAT INC;;1503;GATES AVENUE;;BROOKLYN
1000498;RICHMOND, EDITH D.;LAUNDROMAT;1008;RUTLAND ROAD;;BROOKLYN
1006242;CRYSTAL CLEAN, LLC;;1020;   8 AVENUE;;BROOKLYN
1007121;WASH CYCLE II INC;;340;MYRTLE AVENUE;;BROOKLYN
1009705;THE AMANDA GROUP INC.;;85-52; 118 STREET;;KEW GARDENS
1010673;CHOI, DUKG JUNG;CHOI LAUNDROMAT;912;EAST  233 STREET;;BRONX
472484;TONG, CHEUNG CHUEN;;180;UNDERHILL AVENUE;;BKLYN
522965;BOWNE STREET LAUNDROMAT INC;;41-98;BOWNE STREET;;FLUSHING
574948;D R WASH, INC.;;1274;BRONX RIVER AVENUE;;BRONX
813743;PRO-WASH INC;;1210;ROGERS AVENUE;;BROOKLYN
816899;HAPPY & POLEN CORP;95TH ST LAUNDROMAT &DRY CLEANING CENTER;378;  95 STREET;;BROOKLYN
817891;CAMPBELL, JEAN & CAMPBELL, TREVOR;MERRICK LAUNDERMAT;109-30;MERRICK BOULEVARD;;JAMAICA
833345;JIMMY'S BUBBLES II LAUNDROMAT CORP;;3723;AVENUE S;;BROOKLYN
833597;B BUBBLES INC;;3147;BROADWAY;;NEW YORK
851444;CHOW & LAM CORP;;204;EAST   10 STREET;A&B;NEW YORK
856191;SZETO, FOON;MAY WAH LAUNDRY;196;MOTT STREET;;NEW YORK
883440;WASH TOWN INC;;87-19;LEFFERTS BOULEVARD;;RICHMOND HILL
885155;SHI, CINDY CHUEN S;VILLAGE WASH;321;WEST   11 STREET;STORE WEST;MANHATTAN
887366;GRAHAM, CLINTON;C G LAUNDROMAT;94-16;SUTPHIN BOULEVARD;GROUND FLOOR;JAMAICA
887581;ALFONSO , ROBERTO A;4TH AVENUE BRITE AND CLEAN LAUNDROMAT;593;   4 AVENUE;;BROOKLYN
889159;CHEUNG, STANLEY;SUPERIOR HALF HOUR LAUNDRY;91-05;  37 AVENUE;;JACKSON HEIGHTS
891471;SYMPHONY 44 CLEANERS INC;;245;EAST   44 STREET;;MANHATTAN
891802;PASTORINO, CARLOS;THIRTEEN STREET LAUNDROMAT;513;   5 AVENUE;;BROOKLYN
894178;LOFAIR INC;;3200;BAINBRIDGE AVENUE;;BRONX
